Personality Trait,Confusion Matrix Train,Confusion Matrix,Precision Train,Recall Train,F1 Score Train,Sensitivity Train,FPR Train,TPR Train,AUC Train,Accuracy Rate Train,Precision,Recall,F1 Score,Sensitivity,FPR,TPR,AUC,Accuracy Rate
enfj,"[[6373   45]
 [ 165  468]]","[[719   0]
 [  1  63]]",91.22807017543859,73.93364928909952,81.67539267015707,73.93364928909952,0.7011530071673419,73.93364928909952,86.6162481409661,97.02169904978018,100.0,98.4375,99.21259842519686,98.4375,0.0,98.4375,99.21875,99.87228607918263
enfp,"[[6162  119]
 [ 183  587]]","[[698   1]
 [  0  84]]",83.14447592067988,76.23376623376623,79.53929539295392,76.23376623376623,1.894602770259513,76.23376623376623,87.16958173175335,95.71691958587435,98.82352941176471,100.0,99.40828402366864,100.0,0.14306151645207438,100.0,99.92846924177397,99.87228607918263
entj,"[[6243  242]
 [ 119  447]]","[[698   0]
 [  0  85]]",64.87663280116111,78.97526501766784,71.23505976095618,78.97526501766784,3.7316885119506553,78.97526501766784,87.6217882528586,94.88015884271735,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
entp,"[[6483   66]
 [ 124  378]]","[[734   0]
 [  0  49]]",85.13513513513513,75.2988047808765,79.9154334038055,75.2988047808765,1.0077874484654146,75.2988047808765,87.14550866620554,97.30534675932492,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
esfj,"[[6828   31]
 [  43  149]]","[[751   2]
 [  0  30]]",82.77777777777777,77.60416666666666,80.10752688172043,77.60416666666666,0.4519609272488701,77.60416666666666,88.57610286970889,98.95050347468444,93.75,100.0,96.7741935483871,100.0,0.2656042496679947,100.0,99.867197875166,99.74457215836526
esfp,"[[6874    5]
 [  26  146]]","[[764   0]
 [  0  19]]",96.68874172185431,84.88372093023256,90.40247678018576,84.88372093023256,0.07268498328245385,84.88372093023256,92.40551797347504,99.56034605020564,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
estj,"[[6811   45]
 [  49  146]]","[[765   1]
 [  0  17]]",76.43979057591623,74.87179487179488,75.64766839378238,74.87179487179488,0.6563593932322054,74.87179487179488,87.10771773928133,98.6668557651397,94.44444444444444,100.0,97.14285714285714,100.0,0.13054830287206268,100.0,99.93472584856397,99.87228607918263
estp,"[[6941    2]
 [  27   81]]","[[761   0]
 [  0  22]]",97.59036144578313,75.0,84.81675392670157,75.0,0.02880599164626242,75.0,87.48559700417687,99.58871082116012,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
infj,"[[5903  354]
 [ 137  657]]","[[707   0]
 [  0  76]]",64.98516320474778,82.7455919395466,72.797783933518,82.7455919395466,5.657663416972991,82.7455919395466,88.54396426128682,93.0364487306765,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
infp,"[[6264   55]
 [ 176  556]]","[[695   1]
 [  0  87]]",90.99836333878886,75.95628415300546,82.79970215934475,75.95628415300546,0.8703908846336446,75.95628415300546,87.54294663418591,96.72386895475819,98.86363636363636,100.0,99.42857142857142,100.0,0.14367816091954022,100.0,99.92816091954023,99.87228607918263
intj,"[[6004  261]
 [ 166  620]]","[[710   0]
 [  4  69]]",70.37457434733257,78.88040712468194,74.38512297540493,78.88040712468194,4.166001596169194,78.88040712468194,87.35720276425639,93.94412140121969,100.0,94.52054794520548,97.1830985915493,94.52054794520548,0.0,94.52054794520548,97.26027397260275,99.48914431673053
intp,"[[6431   32]
 [ 146  442]]","[[714   0]
 [  0  69]]",93.24894514767934,75.17006802721087,83.2391713747646,75.17006802721087,0.4951261024292124,75.17006802721087,87.33747096239084,97.47553538505177,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
isfj,"[[6665   29]
 [  78  279]]","[[741   0]
 [  0  42]]",90.5844155844156,78.15126050420169,83.90977443609023,78.15126050420169,0.4332237824917837,78.15126050420169,88.85901836085493,98.48248475393562,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
isfp,"[[6859    7]
 [  44  141]]","[[762   0]
 [  0  21]]",95.27027027027027,76.21621621621621,84.68468468468467,76.21621621621621,0.10195164579085349,76.21621621621621,88.05713228521267,99.2766983406609,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
istj,"[[6723   23]
 [  89  216]]","[[759   0]
 [  0  24]]",90.3765690376569,70.81967213114754,79.41176470588235,70.81967213114754,0.3409427809072043,70.81967213114754,85.23936467512017,98.41157282654942,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
istp,"[[6881    4]
 [  39  127]]","[[762   0]
 [  0  21]]",96.94656488549617,76.50602409638554,85.52188552188552,76.50602409638554,0.05809731299927379,76.50602409638554,88.22396339169313,99.3901574244788,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
